Date,Amgen Inc. (AMGN),Teva Pharmaceutical Industries Limited (TEVA),Medtronic plc (MDT),Novartis AG (NVS),UnitedHealth Group Incorporated (UNH)
11/24/2015,157.512746,60.043632,74.947581,80.238566,110.365153
11/23/2015,157.212779,60.053264,74.947581,80.470738,109.36086
11/20/2015,154.735618,59.417678,74.487478,82.049503,110.150642
11/19/2015,154.32921,58.782092,74.154643,82.253816,107.869037
11/18/2015,155.712931,59.003584,75.92652,82.160948,114.323827
11/17/2015,152.500368,57.732412,74.967164,81.185824,111.535202
11/16/2015,149.500672,56.634582,74.634321,80.842215,110.979428
11/13/2015,146.646131,55.864171,72.89181,80.127121,108.629577
11/12/2015,146.094568,55.844916,72.647075,80.665762,110.004384
11/11/2015,151.019867,56.610832,74.458111,81.696605,111.68146
11/10/2015,152.473642,57.38632,74.790955,82.049503,112.997767
11/9/2015,153.68674,57.223565,74.272118,82.216667,111.408449
11/6/2015,154.485839,57.625669,74.458111,83.238222,111.944719
11/5/2015,155.217538,58.324568,74.565795,83.84187,113.329286
11/4/2015,155.852969,58.889432,74.556011,83.479682,111.778963
11/3/2015,156.411376,59.406427,74.693062,83.776862,114.723598
11/2/2015,156.266952,58.22883,74.154643,84.547674,115.727891
10/30/2015,152.290714,56.668273,72.363182,83.981174,114.840598
10/29/2015,154.601367,57.673542,72.206556,84.473377,116.722432
10/28/2015,156.613549,59.693645,71.991188,84.556963,116.790685
10/27/2015,155.949237,56.907622,71.1493,83.711854,116.390921
10/26/2015,152.67583,57.16612,71.227617,85.717822,113.621794
10/23/2015,149.951193,57.012936,72.13803,86.349329,113.027017
10/22/2015,146.639267,53.575884,71.531085,85.838549,110.969675
10/21/2015,144.50192,55.45238,71.873712,85.058448,115.162364
10/20/2015,144.848517,55.423659,72.08908,85.745681,117.414712
10/19/2015,148.718851,57.635245,72.676442,87.408032,117.71698
10/16/2015,146.928101,58.286275,72.549183,88.253134,116.985698
10/15/2015,146.8607,57.54908,71.883504,87.166571,117.170951
10/14/2015,142.306809,55.911933,70.679405,85.53208,119.023535
10/13/2015,142.085376,55.327921,71.256983,84.529096,120.895616
10/12/2015,147.332462,56.677849,71.472351,85.764252,119.452556
10/9/2015,144.020536,56.448073,71.070983,85.346346,116.293411
10/8/2015,144.318992,56.716146,70.532571,86.005712,113.183028
10/7/2015,142.537879,56.05554,69.445948,85.067737,113.524291
10/6/2015,135.962168,55.500253,68.447425,86.711517,113.153778
10/5/2015,138.446113,55.902357,69.377422,87.482322,116.663932
10/2/2015,137.165629,57.50121,69.631941,86.618642,115.864397
