Date,Sirius XM Holdings Inc. (SIRI),Comcast Corporation (CMCSA),McDonald's Corporation (MCD),FedEx Corporation (FDX),"Wal-Mart Stores, Inc. (WMT)"
11/23/2015,4.121305,30.285297,109.378093,161.745468,57.649212
11/20/2015,4.171079,30.660634,108.843005,162.438207,57.467445
11/19/2015,4.13126,30.524147,108.260139,161.656405,58.070151
11/18/2015,4.121305,30.494901,107.524387,161.121995,58.290186
11/17/2015,4.061576,29.797847,106.005117,159.736516,57.323942
11/16/2015,4.081486,29.905084,106.119775,159.597968,55.36276
11/13/2015,4.061576,29.35914,105.078264,156.470727,53.975581
11/12/2015,4.091441,29.973329,107.123071,157.14367,54.482621
11/11/2015,4.11135,30.002575,108.785669,159.360451,55.085327
11/10/2015,4.121305,30.012324,108.183696,159.825579,56.137668
11/9/2015,4.091441,29.905084,107.906595,158.885432,55.955901
11/6/2015,4.081486,30.031823,108.269689,160.69646,56.233334
11/5/2015,4.101395,30.129313,107.830152,158.608336,56.070701
11/4/2015,4.141215,29.958704,107.400172,157.351499,55.841097
11/3/2015,4.11135,30.494901,107.094407,157.47025,55.592364
11/2/2015,4.11135,30.582642,107.123071,157.302015,55.114026
10/30/2015,4.061576,30.524147,107.256843,154.432088,54.760058
10/29/2015,4.11135,30.738626,107.610387,154.768559,55.448861
10/28/2015,4.091441,30.19268,107.916152,153.660176,55.142725
10/27/2015,4.061576,29.997701,106.673977,154.352915,54.989658
10/26/2015,4.061576,30.309669,107.189957,156.23321,55.506263
10/23/2015,4.001847,30.212179,107.581715,157.866112,55.774131
10/22/2015,3.952073,30.075693,105.938231,158.064035,56.348137
10/21/2015,3.892344,29.788097,97.978768,154.362806,56.0994
10/20/2015,3.991892,30.002575,99.220937,152.403339,56.204635
10/19/2015,3.922208,30.00745,99.842025,150.80014,56.300301
10/16/2015,3.942118,29.890461,100.157347,150.899094,56.338569
10/15/2015,3.942118,29.739351,99.048951,150.532935,56.759508
10/14/2015,3.912254,29.217779,98.246312,149.167238,57.429177
10/13/2015,3.892344,29.325019,98.7814,149.909462,63.838902
10/12/2015,3.902299,29.378639,98.647628,152.818982,64.030234
10/9/2015,3.832615,29.485879,98.188983,153.719551,63.800634
10/8/2015,3.872434,29.724728,98.370527,153.937272,63.982397
10/7/2015,3.872434,29.100792,97.243016,151.384019,63.484929
10/6/2015,3.892344,28.744954,97.367238,149.939149,62.83439
10/5/2015,3.852524,29.061795,96.669707,148.365638,63.016161
10/2/2015,3.812705,28.501229,95.351095,144.011263,62.164721
10/1/2015,3.772886,27.865386,94.38602,143.209664,61.485476
9/30/2015,3.723111,27.608138,94.147141,142.487221,62.03078
9/29/2015,3.633518,26.763585,93.143852,140.458472,61.016707
9/28/2015,3.703202,26.603412,91.691461,139.280823,60.901907
9/25/2015,3.78284,27.443111,93.248952,142.95235,61.016707
9/24/2015,3.762931,27.579015,92.962301,140.963194,61.064544
9/23/2015,3.812705,27.845971,93.048294,142.160641,60.959309
9/22/2015,3.832615,28.010999,92.876301,142.47733,60.83494
9/21/2015,3.832615,28.098366,93.545168,144.496173,60.959309
9/18/2015,3.80275,27.870239,92.732979,143.793543,60.595772
9/17/2015,3.842569,28.37503,93.487832,147.940104,61.676815
9/16/2015,3.852524,28.025561,94.300027,148.078651,61.887285
9/15/2015,3.842569,27.734335,93.822269,152.403339,61.533312
9/14/2015,3.812705,27.302351,92.656536,148.672422,61.495044
9/11/2015,3.792795,27.380011,93.076966,149.513615,61.849017
9/10/2015,3.842569,27.443111,91.013045,148.019276,61.34198
9/9/2015,3.82266,27.506208,91.185038,149.988634,62.298655
9/8/2015,3.832615,27.719774,92.474985,151.700693,63.50406
9/4/2015,3.762931,27.074225,90.630836,146.821814,61.121942
9/3/2015,3.78284,27.282936,91.73924,149.390535,62.049917
9/2/2015,3.80275,27.122763,91.767904,149.005228,61.648116
9/1/2015,3.743021,26.70534,89.312225,146.248791,61.054975
8/31/2015,3.80275,27.341182,90.793273,148.797749,61.925552
8/28/2015,3.812705,27.5596,91.968562,150.665006,62.126453
8/27/2015,3.772886,27.554747,92.188332,151.198502,63.217062
8/26/2015,3.703202,26.889783,90.123495,146.643972,62.021218
8/25/2015,3.613608,26.13745,86.391632,143.314527,60.366168
8/24/2015,3.583744,26.409261,87.963942,146.584696,61.179344
8/21/2015,3.703202,27.5596,91.998893,154.152529,63.657131
8/20/2015,3.78284,28.331346,94.489963,158.519343,65.465246
8/19/2015,3.882389,29.083677,95.759171,162.965195,65.599179
8/18/2015,3.922208,28.972041,95.437135,163.666659,66.469757
8/17/2015,3.932163,29.321512,95.34242,162.984959,68.794477
8/14/2015,3.922208,28.578889,94.025843,162.826881,69.244107
8/13/2015,3.971983,28.947773,94.120566,161.631449,68.985809
8/12/2015,3.942118,28.836137,93.088144,163.320864,69.435447
8/11/2015,3.882389,28.535205,93.590144,166.403317,68.813607
